"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"1941","Ted Williams","Red Sox","143","456","606","185","112","33","3","37","135","120","147","27","2","4",".406",".553",".735","1.287","11.0","1014040"
"1931","Babe Ruth","Yankees","145","534","663","199","119","31","3","46","149","163","128","51","5","4",".373",".495",".700","1.195","10.7","1011327"
"1946","Ted Williams","Red Sox","150","514","672","176","93","37","8","38","142","123","156","44","0","0",".342",".497",".667","1.164","11.8","1014040"
"1957","Ted Williams","Red Sox","132","420","546","163","96","28","1","38","96","87","119","43","0","1",".388",".526",".731","1.257","9.7","1014040"
"1942","Ted Williams","Red Sox","150","522","671","186","111","34","5","36","141","137","145","51","3","2",".356",".499",".648","1.147","11.6","1014040"
"1932","Jimmie Foxx","Athletics","154","585","701","213","113","33","9","58","151","169","116","96","3","7",".364",".469",".749","1.218","11.3","1004285"
"1936","Lou Gehrig","Yankees","155","579","719","205","112","37","7","49","167","152","130","46","3","4",".354",".478",".696","1.174","9.7","1004598"
"1934","Lou Gehrig","Yankees","154","579","690","210","115","40","6","49","128","165","109","31","9","5",".363",".465",".706","1.172","10.7","1004598"
"1949","Ted Williams","Red Sox","155","566","730","194","109","39","3","43","150","159","162","48","1","1",".343",".490",".650","1.141","9.9","1014040"
"1933","Jimmie Foxx","Athletics","149","573","670","204","110","37","9","48","125","163","96","93","2","2",".356",".449",".703","1.153","9.9","1004285"
"1938","Jimmie Foxx","Red Sox","149","565","685","197","105","33","9","50","139","175","119","76","5","4",".349",".462",".704","1.166","8.3","1004285"
"1947","Ted Williams","Red Sox","156","528","693","181","100","40","9","32","125","114","162","47","0","1",".343",".499",".634","1.133","10.5","1014040"
"1954","Ted Williams","Red Sox","117","386","526","133","80","23","1","29","93","89","136","32","0","0",".345",".513",".635","1.148","8.4","1014040"
"1939","Jimmie Foxx","Red Sox","124","467","563","168","92","31","10","35","130","105","89","72","4","3",".360",".464",".694","1.158","7.3","1004285"
"1955","Ted Williams","Red Sox","98","320","417","114","62","21","3","28","77","83","91","24","2","0",".356",".496",".703","1.200","7.1","1014040"
"1948","Ted Williams","Red Sox","137","509","638","188","116","44","3","25","124","127","126","41","4","0",".369",".497",".615","1.112","8.5","1014040"
"1932","Babe Ruth","Yankees","133","457","589","156","97","13","5","41","120","137","130","62","2","2",".341",".489",".661","1.150","8.7","1011327"
"1994","Frank Thomas","White Sox","113","399","517","141","68","34","1","38","106","101","109","61","2","3",".353",".487",".729","1.217","7.0","255"
"1957","Mickey Mantle","Yankees","144","474","623","173","105","28","6","34","121","94","146","75","16","3",".365",".512",".665","1.177","11.4","1008082"
"1956","Mickey Mantle","Yankees","150","533","652","188","109","22","5","52","132","130","112","99","10","1",".353",".464",".705","1.169","11.5","1008082"
"1939","Joe DiMaggio","Yankees","120","462","524","176","108","32","6","30","108","126","52","20","3","0",".381",".448",".671","1.119","8.5","1003311"
"1937","Lou Gehrig","Yankees","157","569","700","200","117","37","9","37","138","159","127","49","4","3",".351",".473",".643","1.116","8.5","1004598"
"1938","Hank Greenberg","Tigers","155","556","681","175","90","23","4","58","144","146","119","92","7","5",".315",".438",".683","1.122","7.8","1004996"
"1996","Mark McGwire","Athletics","130","423","548","132","59","21","0","52","104","113","116","112","0","0",".312",".467",".730","1.198","7.3","1008559"
"1961","Norm Cash","Tigers","159","535","672","193","122","22","8","41","119","132","124","85","11","5",".361",".487",".662","1.148","10.2","1002043"
"1931","Lou Gehrig","Yankees","155","619","738","211","119","31","15","46","163","184","117","56","17","12",".341",".446",".662","1.108","9.2","1004598"
"1941","Joe DiMaggio","Yankees","139","541","621","193","109","43","11","30","122","125","76","13","4","2",".357",".440",".643","1.083","9.8","1003311"
"1935","Jimmie Foxx","Athletics","147","535","649","185","109","33","7","36","118","115","114","99","6","4",".346",".461",".636","1.096","8.5","1004285"
"1934","Jimmie Foxx","Athletics","150","539","652","180","102","28","6","44","120","130","111","75","11","2",".334",".449",".653","1.102","8.8","1004285"
"1931","Al Simmons","Athletics","128","513","563","200","128","37","13","22","105","128","47","45","3","3",".390",".444",".641","1.085","7.9","1011978"
"1937","Hank Greenberg","Tigers","154","594","701","200","97","49","14","40","137","183","102","101","8","3",".337",".436",".668","1.105","8.3","1004996"
"1940","Hank Greenberg","Tigers","148","573","670","195","96","50","8","41","129","150","93","75","6","3",".340",".433",".670","1.103","7.7","1004996"
"1950","Ted Williams","Red Sox","89","334","416","106","53","24","1","28","82","97","82","21","3","0",".317",".452",".647","1.099","4.3","1014040"
"1980","George Brett","Royals","117","449","515","175","109","33","9","24","87","118","58","22","15","6",".390",".454",".664","1.118","9.1","1001400"
"1961","Mickey Mantle","Yankees","153","514","646","163","87","16","6","54","132","128","126","112","12","1",".317",".448",".687","1.135","10.3","1008082"
"2000","Manny Ramirez","Indians","118","439","532","154","80","34","2","38","92","122","86","117","1","1",".351",".457",".697","1.154","4.8","210"
"1994","Albert Belle","Indians","106","412","480","147","74","35","2","36","90","101","58","71","9","6",".357",".438",".714","1.152","5.3","1000802"
"1937","Joe DiMaggio","Yankees","151","621","692","215","119","35","15","46","151","167","64","37","3","0",".346",".412",".673","1.085","9.1","1003311"
"1936","Earl Averill","Indians","152","614","682","232","150","39","15","28","136","126","65","35","3","3",".378",".438",".627","1.065","6.9","1000378"
"1936","Jimmie Foxx","Red Sox","155","585","693","198","117","32","8","41","130","143","105","119","13","4",".338",".440",".631","1.071","6.7","1004285"
"1946","Roy Cullenbine","Tigers","113","328","419","110","74","21","0","15","63","56","88","39","3","0",".335",".477",".537","1.014","5.5","1002861"
"1932","Lou Gehrig","Yankees","156","596","708","208","123","42","9","34","138","151","108","38","4","11",".349",".451",".621","1.072","8.1","1004598"
"1962","Mickey Mantle","Yankees","123","377","502","121","75","15","1","30","96","89","122","78","9","0",".321",".486",".605","1.091","6.0","1008082"
"2000","Carlos Delgado","Blue Jays","162","569","711","196","97","57","1","41","115","137","123","104","0","1",".344",".470",".664","1.134","7.4","1297"
"2000","Jason Giambi","Athletics","152","510","664","170","97","29","1","43","108","137","137","96","2","0",".333",".476",".647","1.123","7.7","818"
"1935","Lou Gehrig","Yankees","149","535","672","176","110","26","10","30","125","119","132","38","8","7",".329",".466",".583","1.049","8.7","1004598"
"1956","Ted Williams","Red Sox","136","400","503","138","84","28","2","24","71","82","102","39","0","0",".345",".479",".605","1.084","6.3","1014040"
