Year,Player,Team,Position,MVP,League
1931,Lefty Grove,Philadelphia Athletics,LHP,Yes,American
1932,Jimmie Foxx,Philadelphia Athletics,1B,Yes,American
1933,Jimmie Foxx,Philadelphia Athletics,1B,Yes,American
1934,Mickey Cochrane,Detroit Tigers,C,Yes,American
1935,Hank Greenberg,Detroit Tigers,1B,Yes,American
1936,Lou Gehrig,New York Yankees,1B,Yes,American
1937,Charlie Gehringer,Detroit Tigers,2B,Yes,American
1938,Jimmie Foxx,Boston Red Sox,1B,Yes,American
1939,Joe DiMaggio,New York Yankees,OF,Yes,American
1940,Hank Greenberg,Detroit Tigers,OF,Yes,American
1941,Joe DiMaggio,New York Yankees,OF,Yes,American
1942,Joe Gordon,New York Yankees,2B,Yes,American
1943,Spud Chandler,New York Yankees,RHP,Yes,American
1944,Hal Newhouser,Detroit Tigers,LHP,Yes,American
1945,Hal Newhouser,Detroit Tigers,LHP,Yes,American
1946,Ted Williams,Boston Red Sox,OF,Yes,American
1947,Joe DiMaggio,New York Yankees,OF,Yes,American
1948,Lou Boudreau,Cleveland Indians,SS,Yes,American
1949,Ted Williams,Boston Red Sox,OF,Yes,American
1950,Phil Rizzuto,New York Yankees,SS,Yes,American
1951,Yogi Berra,New York Yankees,C,Yes,American
1952,Bobby Shantz,Philadelphia Athletics,LHP,Yes,American
1953,Al Rosen,Cleveland Indians,3B,Yes,American
1954,Yogi Berra,New York Yankees,C,Yes,American
1955,Yogi Berra,New York Yankees,C,Yes,American
1956,Mickey Mantle,New York Yankees,OF,Yes,American
1957,Mickey Mantle,New York Yankees,OF,Yes,American
1958,Jackie Jensen,Boston Red Sox,OF,Yes,American
1959,Nellie Fox,Chicago White Sox,2B,Yes,American
1960,Roger Maris,New York Yankees,OF,Yes,American
1961,Roger Maris,New York Yankees,OF,Yes,American
1962,Mickey Mantle,New York Yankees,OF,Yes,American
1963,Elston Howard,New York Yankees,C,Yes,American
1964,Brooks Robinson,Baltimore Orioles,3B,Yes,American
1965,Zoilo Versalles,Minnesota Twins,SS,Yes,American
1966,Frank Robinson,Baltimore Orioles,OF,Yes,American
1967,Carl Yastrzemski,Boston Red Sox,OF,Yes,American
1968,Denny McLain,Detroit Tigers,RHP,Yes,American
1969,Harmon Killebrew,Minnesota Twins,3B,Yes,American
1970,Boog Powell,Baltimore Orioles,1B,Yes,American
1971,Vida Blue,Oakland Athletics,LHP,Yes,American
1972,Dick Allen,Chicago White Sox,1B,Yes,American
1973,Reggie Jackson,Oakland Athletics,OF,Yes,American
1974,Jeff Burroughs,Texas Rangers,OF,Yes,American
1975,Fred Lynn,Boston Red Sox,OF,Yes,American
1976,Thurman Munson,New York Yankees,C,Yes,American
1977,Rod Carew,Minnesota Twins,1B,Yes,American
