"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"2002","Barry Bonds","Giants","143","403","612","149","70","31","2","46","117","110","198","47","9","2",".370",".582",".799","1.381","12.7","1109"
"2004","Barry Bonds","Giants","147","373","617","135","60","27","3","45","129","101","232","41","6","1",".362",".609",".812","1.422","11.9","1109"
"2001","Barry Bonds","Giants","153","476","664","156","49","32","2","73","129","137","177","93","13","3",".328",".515",".863","1.379","12.5","1109"
"1948","Stan Musial","Cardinals","155","611","694","230","127","46","18","39","135","131","79","34","7","",".376",".450",".702","1.152","11.1","1009405"
"2003","Barry Bonds","Giants","130","390","550","133","65","22","1","45","111","90","148","58","7","0",".341",".529",".749","1.278","10.2","1109"
"1935","Arky Vaughan","Pirates","137","499","610","192","129","34","10","19","108","99","97","18","4","",".385",".491",".607","1.098","9.6","1013377"
"1998","Mark McGwire","Cardinals","155","509","681","152","61","21","0","70","130","147","162","155","1","0",".299",".470",".752","1.222","8.5","1008559"
"1997","Larry Walker","Rockies","153","568","664","208","109","46","4","49","143","130","78","90","33","8",".366",".452",".720","1.172","9.1","455"
"1994","Jeff Bagwell","Astros","110","400","479","147","74","32","2","39","104","116","65","65","15","4",".368",".451",".750","1.201","7.8","547"
"1999","Larry Walker","Rockies","127","438","513","166","99","26","4","37","108","115","57","52","11","4",".379",".458",".710","1.168","4.7","455"
"1949","Ralph Kiner","Pirates","152","549","667","170","92","19","5","54","116","127","117","61","6","",".310",".432",".658","1.089","7.8","1006923"
"1951","Ralph Kiner","Pirates","151","531","670","164","85","31","6","42","124","109","137","57","2","1",".309",".452",".627","1.079","7.6","1006923"
"1949","Stan Musial","Cardinals","157","612","721","207","117","41","13","36","128","123","107","38","3","",".338",".438",".624","1.062","9.2","1009405"
"2000","Todd Helton","Rockies","160","580","697","216","113","59","2","42","138","147","103","61","5","3",".372",".463",".698","1.162","8.3","432"
"1951","Stan Musial","Cardinals","152","578","678","205","131","30","12","32","124","108","98","40","4","5",".355",".449",".614","1.063","8.6","1009405"
"1939","Johnny Mize","Cardinals","153","564","670","197","111","44","14","28","104","108","92","49","0","",".349",".444",".626","1.070","7.7","1009014"
